goos: darwin
goarch: amd64
pkg: std/net/url
BenchmarkQueryUnescape/#02-8         	20000000	       108 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       105 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       110 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	10000000	       109 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       109 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       111 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       107 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#02-8         	20000000	       110 ns/op	      32 B/op	       1 allocs/op
BenchmarkQueryUnescape/#03-8         	 5000000	       245 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryUnescape/#03-8         	 5000000	       241 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryUnescape/#03-8         	10000000	       244 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryUnescape/#03-8         	10000000	       244 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryUnescape/#03-8         	10000000	       237 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryUnescape/#03-8         	10000000	       239 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryUnescape/#03-8         	10000000	       246 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryUnescape/#03-8         	 5000000	       237 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryUnescape/#03-8         	 5000000	       237 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryUnescape/#03-8         	 5000000	       239 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryUnescape/#03-8         	10000000	       235 ns/op	      64 B/op	       1 allocs/op
